TaskID,TaskName,Python,DataAnalysis,ML,Communication,ProjectManagement
1,Data Cleaning & Preparation,7,10,2,2,4
1,Data Cleaning & Preparation,7,8,1,3,1
1,Data Cleaning & Preparation,5,9,2,1,3
1,Data Cleaning & Preparation,7,8,2,1,1
1,Data Cleaning & Preparation,4,10,1,2,4
1,Data Cleaning & Preparation,5,10,2,2,1
1,Data Cleaning & Preparation,5,7,1,3,2
1,Data Cleaning & Preparation,5,7,4,4,2
1,Data Cleaning & Preparation,4,7,3,4,1
1,Data Cleaning & Preparation,4,7,2,4,4
1,Data Cleaning & Preparation,5,10,3,3,2
1,Data Cleaning & Preparation,7,7,1,3,1
1,Data Cleaning & Preparation,5,10,2,1,4
1,Data Cleaning & Preparation,7,7,3,2,4
1,Data Cleaning & Preparation,6,8,3,3,4
1,Data Cleaning & Preparation,6,7,4,3,4
1,Data Cleaning & Preparation,7,8,1,1,2
1,Data Cleaning & Preparation,4,8,4,3,4
1,Data Cleaning & Preparation,5,9,2,1,1
1,Data Cleaning & Preparation,4,7,1,3,1
2,Machine Learning Model Development,10,6,9,4,1
2,Machine Learning Model Development,9,6,7,3,4
2,Machine Learning Model Development,8,4,8,4,4
2,Machine Learning Model Development,9,5,7,1,2
2,Machine Learning Model Development,9,4,8,3,4
2,Machine Learning Model Development,8,6,9,1,1
2,Machine Learning Model Development,7,6,10,3,4
2,Machine Learning Model Development,9,7,8,3,3
2,Machine Learning Model Development,10,5,9,2,4
2,Machine Learning Model Development,8,7,9,1,2
2,Machine Learning Model Development,7,7,9,1,1
2,Machine Learning Model Development,7,4,8,2,2
2,Machine Learning Model Development,9,5,8,3,1
2,Machine Learning Model Development,8,7,10,2,2
2,Machine Learning Model Development,9,5,8,3,4
2,Machine Learning Model Development,10,5,10,3,4
2,Machine Learning Model Development,9,5,7,2,4
2,Machine Learning Model Development,10,7,9,3,2
2,Machine Learning Model Development,8,4,8,3,1
2,Machine Learning Model Development,8,5,7,1,3
3,Client Presentation,2,2,3,10,2
3,Client Presentation,1,4,4,8,4
3,Client Presentation,2,1,3,10,1
3,Client Presentation,4,4,1,7,2
3,Client Presentation,3,4,3,8,3
3,Client Presentation,2,2,2,7,1
3,Client Presentation,4,4,3,7,4
3,Client Presentation,3,1,4,8,1
3,Client Presentation,4,4,4,8,2
3,Client Presentation,2,2,4,10,4
3,Client Presentation,1,4,1,7,4
3,Client Presentation,1,3,3,7,4
3,Client Presentation,3,4,4,10,4
3,Client Presentation,2,2,3,10,4
3,Client Presentation,3,3,4,9,3
3,Client Presentation,4,4,4,7,4
3,Client Presentation,4,3,2,7,3
3,Client Presentation,4,1,4,7,3
3,Client Presentation,2,3,1,8,2
3,Client Presentation,4,1,4,8,4
4,Backend API Development,8,1,3,1,6
4,Backend API Development,7,4,3,4,4
4,Backend API Development,8,4,4,2,4
4,Backend API Development,8,2,1,4,5
4,Backend API Development,10,1,4,2,5
4,Backend API Development,7,3,1,2,7
4,Backend API Development,9,3,1,4,4
4,Backend API Development,9,4,1,3,4
4,Backend API Development,7,3,1,4,4
4,Backend API Development,8,3,4,1,4
4,Backend API Development,7,4,1,2,7
4,Backend API Development,7,4,1,1,5
4,Backend API Development,8,1,1,1,6
4,Backend API Development,7,3,3,1,7
4,Backend API Development,7,3,1,1,5
4,Backend API Development,8,4,3,2,5
4,Backend API Development,9,3,4,2,7
4,Backend API Development,7,4,1,4,4
4,Backend API Development,8,4,4,4,7
4,Backend API Development,8,3,4,4,5
5,Exploratory Data Analysis,1,9,3,4,1
5,Exploratory Data Analysis,4,7,4,6,1
5,Exploratory Data Analysis,1,9,2,5,3
5,Exploratory Data Analysis,2,7,4,4,3
5,Exploratory Data Analysis,4,10,3,6,3
5,Exploratory Data Analysis,4,9,2,5,1
5,Exploratory Data Analysis,4,8,1,5,4
5,Exploratory Data Analysis,1,10,1,6,3
5,Exploratory Data Analysis,3,7,4,5,3
5,Exploratory Data Analysis,4,9,3,4,2
5,Exploratory Data Analysis,3,10,2,5,3
5,Exploratory Data Analysis,1,10,1,6,2
5,Exploratory Data Analysis,3,9,3,4,4
5,Exploratory Data Analysis,1,8,4,5,1
5,Exploratory Data Analysis,4,8,1,6,2
5,Exploratory Data Analysis,3,8,3,7,4
5,Exploratory Data Analysis,2,9,1,7,4
5,Exploratory Data Analysis,2,7,2,4,4
5,Exploratory Data Analysis,2,8,3,7,1
5,Exploratory Data Analysis,1,7,1,6,1
6,Automation Script,7,3,1,2,3
6,Automation Script,8,1,4,2,4
6,Automation Script,7,2,1,1,3
6,Automation Script,7,4,2,2,1
6,Automation Script,8,2,1,2,3
6,Automation Script,9,2,4,1,3
6,Automation Script,10,3,3,4,2
6,Automation Script,8,3,2,1,2
6,Automation Script,7,4,2,2,1
